dbn,school_name,school_type,enrollment,survey_pp_RI,survey_pp_CT,survey_pp_SE,survey_pp_ES,survey_pp_SF,survey_pp_TR,gender_female_pct,gender_male_pct,QR_1_1,QR_1_2,QR_2_2,QR_3_4,QR_4_2,QR_1_4,QR_1_3,QR_3_1,QR_4_1,QR_5_1,ELL,IEP,hs_overage_undercredit_hoi_pct,temp_housing_pct,hra_elig_pct,median_distance,Principal_experience,Teach_3_more_exp,val_attendance_hs_all,val_chronic_absent_hs_all,Teacher_attendance,n_pct_cpci_all,val_pct_cpci_all,n_grad_pct_4_all,val_grad_pct_4_all,n_grad_pct_6_all,val_grad_pct_6_all,n_act_engl,val_act_engl,n_act_math,val_act_math,n_act_read,val_act_read,n_act_scie,val_act_scie,n_mean_act_engl,val_mean_act_engl,n_mean_act_math,val_mean_act_math,n_mean_act_read,val_mean_act_read,n_mean_act_scie,val_mean_act_scie,n_mean_sat_math,val_mean_sat_math,n_mean_sat_writ,val_mean_sat_writ,n_pct_act_engl,val_pct_act_engl,n_pct_act_math,val_pct_act_math,n_pct_sat_math,val_pct_sat_math,n_pct_sat_writ,val_pct_sat_writ
06M211,Inwood Early College for Health and Information Te,High School,425,0.71,0.79,0.85,0.84,0.92,0.9,0.424,0.576,Proficient,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,0.111,0.221,0.073,0.136,0.751,1.4,7.2,0.811,0.861,0.382,0.995,99,0.818,100,0.9,98,0.898,100,0,100,0,100,0,100,0,,,,,,,,,90,423,90,448,99,0,99,0,99,0.091,99,0.242
06M293,City College Academy of the Arts,High School,353,0.81,0.75,0.84,0.85,0.94,0.87,0.552,0.448,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.037,0.156,0.006,0.091,0.686,0.7,16.2,0.9,0.902,0.334,0.979,88,0.966,88,1,74,0.946,88,0,88,0,88,0,88,0,,,,,,,,,87,502,87,484,88,0,88,0,88,0.398,88,0.511
06M346,Community Health Academy of the Heights,High School,392,0.81,0.96,0.89,0.98,0.98,0.97,0.48,0.52,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,0.12,0.199,0.013,0.115,0.804,0.7,1.4,0.902,0.944,0.131,0.989,104,0.885,104,0.913,102,0.882,104,0,104,0,104,0,104,0,2,,2,,2,,2,,89,426,89,421,104,0,104,0,104,0.077,104,0.144
06M348,Washington Heights Expeditionary Learning School,High School,433,0.81,0.9,0.89,0.87,0.98,0.96,0.478,0.522,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Proficient,0.129,0.24,0.035,0.12,0.794,0.4,6,0.829,0.845,0.463,0.976,101,0.698,101,0.921,90,0.9,101,0,101,0,101,0,101,0,,,,,,,,,92,472,92,469,101,0,101,0,101,0.248,101,0.327
06M462,The College Academy,High School,359,0.76,0.93,0.9,0.89,0.87,0.94,0.376,0.624,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,0.513,0.256,0.131,0.295,0.827,1.2,5.1,0.786,0.811,0.512,0.969,87,0.598,87,0.92,99,0.808,87,0,87,0,87,0,87,0,,,,,,,,,68,395,68,394,87,0,87,0,87,0.103,87,0.103
06M463,High School for Media and Communications,High School,328,0.83,0.97,0.9,0.98,0.97,0.98,0.439,0.561,Proficient,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,0.479,0.223,0.122,0.32,0.805,1.4,6,0.783,0.916,0.218,0.986,89,0.466,89,0.865,89,0.843,89,0,89,0,89,0,89,0,,,,,,,,,69,369,69,388,89,0,89,0,89,0.022,89,0.011
06M467,High School for Law and Public Service,High School,449,0.74,0.75,0.82,0.72,0.98,0.84,0.512,0.488,Developing,Developing,Proficient,Developing,Developing,Developing,Proficient,Proficient,Proficient,Developing,0.35,0.269,0.127,0.234,0.849,1.4,1.5,0.818,0.721,0.604,0.983,108,0.537,108,0.639,140,0.671,108,0,108,0,108,0,108,0,,,,,,,,,62,420,62,421,108,0,108,0,108,0.046,108,0.093
06M468,High School for Health Careers and Sciences,High School,396,0.77,0.87,0.86,0.9,0.98,0.95,0.528,0.472,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Well Developed,0.417,0.167,0.088,0.24,0.793,1.5,8.6,0.75,0.918,0.203,0.982,112,0.616,112,0.723,81,0.79,112,0,112,0,112,0,112,0,,,,,,,,,80,392,80,393,112,0,112,0,112,0.027,112,0.063
06M540,A. Philip Randolph Campus High School,High School,"1,505",0.74,0.86,0.76,0.88,0.87,0.88,0.51,0.49,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.144,0.185,0.055,0.155,0.763,2.8,9.7,0.874,0.751,0.519,0.986,338,0.615,338,0.834,309,0.893,338,0,338,0,338,0,338,0,,,,,,,,,280,478,280,459,338,0,338,0,338,0.257,338,0.308
06M552,Gregorio Luperon High School for Science and Mathe,High School,539,0.81,0.96,0.91,0.97,0.95,0.97,0.505,0.495,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,0.84,0.041,0.058,0.39,0.824,1.4,4.8,0.875,0.899,0.325,0.986,154,0.883,154,0.974,144,0.91,154,0,154,0,154,0,154,0,,,,,,,,,137,411,137,414,154,0,154,0,154,0.058,154,0.143
