dbn,school_name,school_type,enrollment,survey_pp_RI,survey_pp_CT,survey_pp_SE,survey_pp_ES,survey_pp_SF,survey_pp_TR,gender_female_pct,gender_male_pct,QR_1_1,QR_1_2,QR_2_2,QR_3_4,QR_4_2,QR_1_4,QR_1_3,QR_3_1,QR_4_1,QR_5_1,ELL,IEP,hs_overage_undercredit_hoi_pct,temp_housing_pct,hra_elig_pct,median_distance,Principal_experience,Teach_3_more_exp,val_attendance_hs_all,val_chronic_absent_hs_all,Teacher_attendance,n_pct_cpci_all,val_pct_cpci_all,n_grad_pct_4_all,val_grad_pct_4_all,n_grad_pct_6_all,val_grad_pct_6_all,n_act_engl,val_act_engl,n_act_math,val_act_math,n_act_read,val_act_read,n_act_scie,val_act_scie,n_mean_act_engl,val_mean_act_engl,n_mean_act_math,val_mean_act_math,n_mean_act_read,val_mean_act_read,n_mean_act_scie,val_mean_act_scie,n_mean_sat_math,val_mean_sat_math,n_mean_sat_writ,val_mean_sat_writ,n_pct_act_engl,val_pct_act_engl,n_pct_act_math,val_pct_act_math,n_pct_sat_math,val_pct_sat_math,n_pct_sat_writ,val_pct_sat_writ
08X558,Westchester Square Academy,High School,456,0.74,0.85,0.81,0.87,0.92,0.91,0.45,0.55,Well Developed,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.116,0.221,0.075,0.112,0.724,1.9,5.1,0.636,0.819,0.498,0.985,112,0.79,112,0.875,149,0.859,112,0,112,0,112,0,112,0,2,,2,,2,,2,,94,425,94,425,112,0,112,0,112,0.089,112,0.161
08X559,School for Tourism and Hospitality,High School,173,0.52,0.66,0.79,0.45,0.92,0.72,0.584,0.416,Proficient,Developing,Developing,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,0.231,0.283,0.145,0.283,0.908,1.2,3.2,0.8,0.858,0.407,0.969,47,0.085,47,0.468,104,0.567,47,0,47,0,47,0,47,0,2,,2,,2,,2,,15,426,15,445,47,0,47,0,47,0.043,47,0.106
08X561,Bronx Compass High School,High School,370,0.75,0.92,0.84,0.95,0.87,0.95,0.351,0.649,Developing,Developing,Developing,Developing,Under Developed,Developing,Developing,Developing,Developing,Developing,0.122,0.276,0.108,0.146,0.803,1.4,0.6,0.867,0.877,0.293,0.973,101,0.307,102,0.873,101,0.832,102,0,102,0,102,0,102,0,,,,,,,,,85,437,85,447,101,0,101,0,101,0.089,101,0.267
09X227,Bronx Collegiate Academy,High School,386,0.86,0.97,0.9,0.98,0.96,0.98,0.547,0.453,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,0.14,0.231,0.052,0.135,0.829,1.3,10.5,0.857,0.887,0.334,0.998,86,0.756,86,0.942,101,0.871,86,0,86,0,86,0,86,0,,,,,,,,,71,410,71,422,86,0,86,0,86,0.023,86,0.163
09X231,Eagle Academy for Young Men,High School,303,0.76,0.89,0.81,0.92,0.91,0.9,0,1,Proficient,Developing,Developing,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Developing,0.053,0.297,0.079,0.132,0.736,1.4,5.9,0.658,0.814,0.495,0.974,71,0.563,71,0.831,66,0.833,71,0.014,71,0.014,71,0.014,71,0.014,1,,1,,1,,1,,63,416,63,421,71,0.014,71,0,71,0.07,71,0.225
09X241,Urban Assembly School for Applied Math and Science,High School,359,0.77,0.81,0.81,0.84,0.93,0.93,0.448,0.552,Proficient,Proficient,Developing,Proficient,Developing,Proficient,Well Developed,Proficient,Well Developed,Proficient,0.142,0.315,0.031,0.145,0.825,0.8,3,0.587,0.875,0.39,0.977,86,0.453,86,0.884,82,0.817,86,0,86,0,86,0,86,0,,,,,,,,,76,447,76,431,86,0,86,0,86,0.163,86,0.186
09X250,Eximius College Preparatory Academy: A College Boa,High School,397,0.79,0.82,0.79,0.84,0.91,0.86,0.534,0.466,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,0.068,0.257,0.045,0.141,0.768,1.3,10,0.8,0.868,0.369,0.964,105,0.867,105,0.886,115,0.8,105,0,105,0,105,0,105,0,,,,,,,,,97,435,97,437,105,0,105,0,105,0.095,105,0.267
09X252,Mott Hall Bronx High School,High School,347,0.71,0.74,0.79,0.75,0.91,0.89,0.53,0.47,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,0.11,0.233,0.084,0.147,0.816,1.1,9.8,0.667,0.83,0.437,0.98,86,0.942,86,0.849,102,0.873,86,0,86,0,86,0,86,0,,,,,,,,,71,410,71,426,86,0,86,0,86,0.047,86,0.14
09X260,Bronx Center for Science and Mathematics,High School,436,0.69,0.83,0.82,0.79,0.87,0.87,0.502,0.498,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.08,0.227,0.037,0.122,0.732,1.6,0.3,0.742,0.798,0.704,0.975,110,0.836,110,0.945,111,0.919,110,0,110,0,110,0,110,0,,,,,,,,,106,508,106,500,110,0,110,0,110,0.464,110,0.536
09X263,Validus Preparatory Academy,High School,339,0.71,0.87,0.82,0.88,0.89,0.9,0.487,0.513,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.142,0.271,0.077,0.156,0.87,0.9,7.1,0.731,0.863,0.397,0.987,89,0.472,90,0.711,98,0.755,90,0,90,0,90,0,90,0,,,,,,,,,64,401,64,414,89,0,89,0,89,0.034,89,0.09
09X297,Morris Academy for Collaborative Studies,High School,472,0.76,0.84,0.84,0.88,0.9,0.89,0.506,0.494,Well Developed,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,0.119,0.261,0.064,0.144,0.854,1.6,8.6,0.765,0.826,0.434,0.98,117,0.829,117,0.915,84,0.869,117,0,117,0,117,0,117,0,,,,,,,,,104,423,104,435,117,0,117,0,117,0.085,117,0.214
09X324,Bronx Early College Academy for Teaching & Learnin,High School,325,0.78,0.85,0.86,0.79,0.91,0.92,0.449,0.551,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,0.077,0.212,0.012,0.12,0.806,0.9,10,0.677,0.821,0.434,0.97,66,0.97,66,0.985,63,1,66,0,66,0,66,0,66,0,2,,2,,2,,2,,62,474,62,463,66,0,66,0,66,0.258,66,0.409
09X327,Comprehensive Model School Project M.S. 327,High School,420,0.79,0.93,0.86,0.95,0.93,0.96,0.44,0.56,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,0.083,0.307,0.029,0.181,0.819,0.5,7,0.808,0.814,0.402,0.993,107,0.636,107,0.879,121,0.901,107,0,107,0,107,0,107,0,,,,,,,,,100,466,100,452,107,0,107,0,107,0.308,107,0.346
09X329,DreamYard Preparatory School,High School,331,0.81,0.92,0.87,0.95,0.91,0.94,0.541,0.459,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,Proficient,0.205,0.257,0.088,0.257,0.87,1.1,9.3,0.625,0.85,0.445,0.979,50,0.7,50,0.86,63,0.73,50,0,50,0,50,0,50,0,,,,,,,,,41,387,41,408,50,0,50,0,50,0.04,50,0.16
09X404,School for Excellence,High School,194,0.78,0.71,0.79,0.73,0.9,0.83,0.459,0.541,Developing,Developing,Developing,Developing,Developing,Proficient,Developing,Developing,Developing,Developing,0.278,0.258,0.211,0.247,0.876,1.1,2,0.7,0.847,0.452,0.974,85,0.135,85,0.6,94,0.681,85,0,85,0,85,0,85,0,,,,,,,,,49,386,49,404,85,0,85,0,85,0.012,85,0.082
09X412,Bronx High School of Business,High School,333,0.71,0.82,0.82,0.85,0.88,0.9,0.444,0.556,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.366,0.21,0.153,0.333,0.853,1,4.8,0.613,0.844,0.447,0.976,63,0.397,63,0.81,58,0.724,63,0,63,0,63,0,63,0,,,,,,,,,51,404,51,414,63,0,63,0,63,0.063,63,0.143
09X413,Bronx High School for Medical Science,High School,320,0.78,0.96,0.81,0.95,0.84,0.93,0.547,0.453,Proficient,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,0.106,0.253,0.031,0.128,0.788,0.9,2,0.769,0.918,0.251,0.985,70,0.929,70,0.814,67,0.91,70,0,70,0,70,0,70,0,,,,,,,,,63,497,63,487,70,0,70,0,70,0.4,70,0.5
09X505,"Bronx School for Law, Government and Justice",High School,481,0.7,0.8,0.77,0.83,0.89,0.88,0.57,0.43,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.102,0.245,0.05,0.129,0.8,0.9,6.1,0.81,0.865,0.315,0.982,114,0.465,114,0.842,129,0.891,114,0,114,0,114,0,114,0,,,,,,,,,100,428,100,436,114,0,114,0,114,0.105,114,0.254
09X517,Frederick Douglass Academy III Secondary School,High School,302,0.76,0.9,0.81,0.95,0.84,0.95,0.43,0.57,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.192,0.315,0.119,0.219,0.858,1.2,5.8,0.933,0.81,0.495,0.987,97,0.495,97,0.753,107,0.748,97,0,97,0,97,0,97,0,,,,,,,,,62,385,62,411,97,0,97,0,97,0.041,97,0.082
09X525,Bronx Leadership Academy High School,High School,394,0.76,0.8,0.79,0.85,0.94,0.88,0.48,0.52,Well Developed,Developing,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.135,0.297,0.079,0.193,0.901,0.9,2.5,0.714,0.902,0.22,0.98,124,0.742,124,0.798,142,0.704,124,0.04,124,0.04,124,0.04,124,0.04,5,,5,,5,,5,,98,379,98,396,124,0,124,0,124,0.024,124,0.065
09X543,High School for Violin and Dance,High School,219,0.66,0.84,0.78,0.86,0.92,0.9,0.721,0.279,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.187,0.292,0.128,0.279,0.863,1.4,10.5,0.706,0.859,0.341,0.97,65,0.646,65,0.769,60,0.633,65,0,65,0,65,0,65,0,,,,,,,,,39,352,39,364,65,0,65,0,65,0,65,0.046
09X568,Young Women's Leadership School of the Bronx,High School,297,0.76,0.91,0.84,0.92,0.91,0.94,1,0,Well Developed,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Well Developed,0.047,0.185,0.024,0.071,0.707,1.3,2.2,0.795,0.821,0.575,0.974,62,0.79,62,0.935,64,0.953,62,0,62,0,62,0,62,0,,,,,,,,,58,488,58,493,62,0,62,0,62,0.274,62,0.5
10X141,Riverdale / Kingsbridge Academy (Middle School / H,High School,765,0.79,0.9,0.77,0.92,0.91,0.92,0.494,0.506,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,0.065,0.203,0.003,0.073,0.446,0.8,14.2,0.885,0.89,0.301,0.982,188,0.88,188,0.915,161,0.944,188,0,188,0,188,0,188,0,,,,,,,,,172,514,172,500,188,0,188,0,188,0.41,188,0.5
10X213,Bronx Engineering and Technology Academy,High School,371,0.82,0.96,0.87,0.99,0.95,0.97,0.143,0.857,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.146,0.261,0.121,0.154,0.779,2.1,1.4,0.897,0.776,0.481,0.996,82,0.659,82,0.78,98,0.837,82,0,82,0,82,0,82,0,,,,,,,,,61,431,61,435,82,0,82,0,82,0.073,82,0.22
10X225,Theatre Arts Production Company School,High School,355,0.7,0.81,0.76,0.85,0.91,0.9,0.69,0.31,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,0.087,0.248,0.014,0.175,0.777,1.4,9.5,0.913,0.772,0.647,0.982,70,0.829,71,0.817,82,0.927,71,0,71,0,71,0,71,0,,,,,,,,,59,428,59,435,70,0,70,0,70,0.057,70,0.214
10X243,West Bronx Academy for the Future,High School,354,0.69,0.87,0.8,0.9,0.93,0.93,0.497,0.503,Proficient,Developing,Developing,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,0.124,0.251,0.025,0.169,0.825,0.8,17.2,0.8,0.898,0.303,0.998,61,0.885,61,1,70,0.829,61,0,61,0,61,0,61,0,,,,,,,,,59,439,59,449,61,0,61,0,61,0.115,61,0.311
10X264,Bronx Academy for Software Engineering (BASE),High School,430,0.77,0.92,0.86,0.84,0.9,0.91,0.186,0.814,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.112,0.293,0.053,0.13,0.753,1.7,8.2,0.861,0.816,0.477,0.999,81,0.556,81,0.815,99,0.859,81,0,81,0,81,0,81,0,,,,,,,,,64,446,64,450,81,0,81,0,81,0.123,81,0.272
10X268,Kingsbridge International High School,High School,363,0.74,0.83,0.81,0.84,0.92,0.88,0.449,0.551,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,Developing,0.923,0.047,0.165,0.433,0.791,1,1.8,0.871,0.703,0.564,0.98,119,0.529,119,0.588,142,0.775,119,0,119,0,119,0,119,0,,,,,,,,,76,362,76,360,119,0,119,0,119,0.008,119,0
10X284,Bronx School of Law and Finance,High School,354,0.82,0.91,0.86,0.94,0.87,0.92,0.548,0.452,Proficient,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,0.203,0.203,0.076,0.189,0.836,1.7,9.2,0.92,0.826,0.434,0.987,100,0.7,100,0.83,80,0.888,100,0,100,0,100,0,100,0,,,,,,,,,75,414,75,422,100,0,100,0,100,0.04,100,0.19
10X342,International School for Liberal Arts,High School,389,0.85,0.94,0.87,0.98,0.96,0.97,0.483,0.517,Proficient,Developing,Developing,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,0.743,0.098,0.08,0.393,0.817,0.7,1.5,0.913,0.889,0.227,0.981,93,0.839,93,0.796,103,0.786,93,0,93,0,93,0,93,0,,,,,,,,,57,399,57,391,93,0,93,0,93,0.022,93,0.032
10X351,Bronx Collaborative High School,High School,554,0.73,0.72,0.73,0.74,0.86,0.86,0.486,0.514,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,0.177,0.249,0.105,0.175,0.792,1.8,8.2,0.867,0.561,0.933,0.988,144,0.257,144,0.882,121,0.769,144,0,144,0,144,0,144,0,,,,,,,,,127,412,127,431,144,0,144,0,144,0.021,144,0.201
10X353,World View High School,High School,602,0.79,0.95,0.86,0.94,0.9,0.94,0.542,0.458,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,0.266,0.204,0.05,0.188,0.734,2,7.4,0.708,0.934,0.209,0.993,132,0.496,132,1,109,0.945,132,0,132,0,132,0,132,0,,,,,,,,,121,438,121,439,132,0,132,0,132,0.129,132,0.318
10X368,In-Tech Academy (M.S. / High School 368),High School,596,0.69,0.8,0.76,0.82,0.89,0.86,0.475,0.525,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,0.163,0.223,0.008,0.119,0.698,0.7,6.2,0.89,0.806,0.568,0.979,151,0.632,151,0.821,108,0.944,151,0.007,151,0.007,151,0.007,151,0.007,1,33.1,1,33.7,1,33.5,1,33.3,141,438,141,464,151,0,151,0,151,0.139,151,0.391
10X374,Knowledge and Power Preparatory Academy Internatio,High School,401,0.8,0.9,0.88,0.9,0.92,0.95,0.586,0.414,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,0.135,0.242,0.045,0.162,0.776,1.7,14.1,0.808,0.856,0.437,0.977,110,0.773,110,1,124,0.895,110,0,110,0,110,0,110,0,,,,,,,,,104,430,104,438,110,0,110,0,110,0.109,110,0.3
10X433,High School for Teaching and the Professions,High School,408,0.69,0.9,0.86,0.93,0.95,0.93,0.505,0.495,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,0.25,0.223,0.083,0.216,0.804,1.2,2.7,0.9,0.894,0.386,0.964,103,0.631,103,0.777,100,0.85,103,0,103,0,103,0,103,0,,,,,,,,,82,395,82,410,103,0,103,0,103,0.01,103,0.078
10X434,Belmont Preparatory High School,High School,398,0.91,0.9,0.95,0.91,0.87,0.92,0.513,0.487,Proficient,Proficient,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,0.09,0.224,0.028,0.103,0.779,1.3,14.2,1,0.822,0.437,0.99,91,0.451,91,0.758,87,0.885,91,0,91,0,91,0,91,0,,,,,,,,,67,422,67,433,91,0,91,0,91,0.077,91,0.231
10X438,Fordham Leadership Academy,High School,413,0.74,0.8,0.85,0.8,0.89,0.88,0.533,0.467,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,0.15,0.262,0.051,0.133,0.84,1.3,6.2,0.519,0.955,0.12,0.968,65,0.969,65,1,67,0.896,65,0,65,0,65,0,65,0,,,,,,,,,55,398,55,395,65,0,65,0,65,0.062,65,0.077
10X440,DeWitt Clinton High School,High School,964,0.74,0.78,0.78,0.8,0.82,0.85,0.462,0.538,Developing,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.11,0.217,0.066,0.162,0.763,1.7,4.6,0.557,0.857,0.38,0.98,205,0.893,206,0.908,305,0.82,206,0,206,0,206,0,206,0,,,,,,,,,172,454,172,448,205,0,205,0,205,0.166,205,0.254
10X442,"Celia Cruz Bronx High School of Music, The",High School,456,0.78,0.93,0.81,0.95,0.88,0.93,0.621,0.379,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,0.048,0.208,0.029,0.114,0.645,2.4,8.4,0.875,0.946,0.129,0.982,91,0.989,91,0.989,96,0.99,91,0.011,91,0.011,91,0.011,91,0.011,1,31.7,1,32.9,1,33.6,1,33.2,81,439,81,448,91,0.011,91,0.011,91,0.143,91,0.33
10X445,The Bronx High School of Science,High School,"2,936",0.82,0.89,0.8,0.93,0.86,0.92,0.432,0.568,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,0,0.017,0.001,0.016,0.303,9.1,0.9,0.925,0.981,0.034,0.985,740,1,740,1,741,1,740,0.054,740,0.054,740,0.054,740,0.054,40,33.1,40,33.7,40,33.5,40,33.3,699,750,699,698,740,0.054,740,0.054,740,0.945,740,0.945
10X477,Marble Hill High School for International Studies,High School,444,0.74,0.85,0.86,0.87,0.93,0.94,0.547,0.453,Proficient,Proficient,Developing,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Developing,0.288,0.171,0.043,0.146,0.761,1.8,14,0.906,0.894,0.331,0.988,106,0.896,106,0.991,111,0.991,106,0,106,0,106,0,106,0,,,,,,,,,104,480,104,466,106,0,106,0,106,0.311,106,0.434
10X524,Crotona International High School,High School,304,0.83,0.8,0.84,0.82,0.99,0.9,0.47,0.53,Proficient,Developing,Proficient,Proficient,Proficient,Developing,Proficient,Proficient,Well Developed,Proficient,0.984,0.056,0.22,0.454,0.737,1.2,6,0.783,0.834,0.517,0.981,91,0.582,91,0.868,86,0.791,91,0,91,0,91,0,91,0,,,,,,,,,41,343,41,365,91,0,91,0,91,0.011,91,0
10X546,Bronx Theatre High School,High School,314,0.77,0.91,0.83,0.96,0.87,0.93,0.662,0.338,Proficient,Developing,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,0.038,0.242,0.073,0.185,0.828,2.1,4,0.826,0.873,0.341,0.993,76,0.724,76,0.882,79,0.835,76,0,76,0,76,0,76,0,,,,,,,,,58,395,58,411,76,0,76,0,76,0.039,76,0.145
10X549,Discovery High School,High School,466,0.77,0.94,0.86,0.99,0.92,0.96,0.448,0.552,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,0.206,0.26,0.084,0.189,0.83,1.1,14.2,0.807,0.909,0.318,0.99,109,0.908,109,0.908,120,0.875,109,0,109,0,109,0,109,0,,,,,,,,,85,419,85,413,109,0,109,0,109,0.092,109,0.174
10X565,High School for Energy and Technology,High School,417,0.74,0.92,0.82,0.94,0.88,0.92,0.259,0.741,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,0.153,0.29,0.074,0.18,0.818,1.2,5.8,0.824,0.941,0.168,0.977,80,0.775,81,0.938,105,0.8,81,0,81,0,81,0,81,0,,,,,,,,,64,416,64,423,80,0,80,0,80,0.063,80,0.138
11X249,Bronx Health Sciences High School,High School,334,0.75,0.88,0.83,0.95,0.93,0.92,0.584,0.416,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,Well Developed,Proficient,0.063,0.156,0.03,0.129,0.623,2,0.3,0.875,0.935,0.162,0.959,60,0.983,60,0.983,47,1,60,0,60,0,60,0,60,0,,,,,,,,,59,473,59,474,60,0,60,0,60,0.25,60,0.4
11X253,Bronx High School for Writing and Communication Ar,High School,271,0.73,0.93,0.82,0.97,0.89,0.93,0.506,0.494,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.148,0.244,0.199,0.188,0.76,1.4,10,0.895,0.876,0.289,0.97,89,0.59,89,0.73,95,0.779,89,0,89,0,89,0,89,0,,,,,,,,,62,408,62,409,89,0,89,0,89,0.056,89,0.124
11X265,Bronx Lab School,High School,301,0.82,0.9,0.89,0.9,0.97,0.93,0.409,0.591,Proficient,Developing,Proficient,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,0.166,0.286,0.14,0.189,0.831,1.9,7.7,0.933,0.584,0.939,0.986,88,0.25,88,0.795,101,0.792,88,0,88,0,88,0,88,0,,,,,,,,,70,396,70,408,88,0,88,0,88,0.034,88,0.102
11X270,Academy for Scholarship and Entrepreneurship: A Co,High School,359,0.74,0.92,0.82,0.96,0.92,0.93,0.476,0.524,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.042,0.209,0.1,0.125,0.719,0.8,16.2,0.821,0.857,0.47,0.98,88,0.773,88,0.795,106,0.774,88,0,88,0,88,0,88,0,,,,,,,,,67,401,67,412,88,0,88,0,88,0.057,88,0.125
11X275,High School of Computers and Technology,High School,498,0.74,0.95,0.81,0.94,0.87,0.92,0.159,0.841,Proficient,Proficient,Developing,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,0.116,0.267,0.056,0.179,0.733,1.9,3.5,0.97,0.846,0.374,0.985,117,0.701,117,0.821,108,0.87,117,0,117,0,117,0,117,0,,,,,,,,,93,454,93,465,117,0,117,0,117,0.162,117,0.299
11X288,Collegiate Institute for Math and Science,High School,587,0.75,0.87,0.85,0.93,0.89,0.92,0.412,0.588,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,0.055,0.193,0.034,0.085,0.634,1.5,7.1,0.938,0.842,0.398,0.981,152,0.757,152,0.875,156,0.936,152,0.013,152,0.013,152,0.013,152,0.013,2,,2,,2,,2,,124,502,124,488,152,0.007,152,0.013,152,0.316,152,0.461
11X290,Bronx Academy of Health Careers,High School,383,0.76,0.91,0.79,0.91,0.85,0.92,0.611,0.389,Proficient,Developing,Developing,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Proficient,Proficient,0.167,0.198,0.081,0.258,0.791,1.6,9,0.917,0.805,0.512,0.989,84,0.857,84,0.917,84,0.905,84,0,84,0,84,0,84,0,,,,,,,,,75,408,75,423,84,0,84,0,84,0.06,84,0.155
11X299,Astor Collegiate Academy,High School,484,0.74,0.9,0.82,0.9,0.91,0.93,0.444,0.556,Proficient,Developing,Developing,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,0.101,0.213,0.05,0.095,0.655,1.4,10.7,0.727,0.833,0.395,0.986,114,0.588,114,0.789,108,0.796,114,0,114,0,114,0,114,0,,,,,,,,,96,431,96,444,114,0,114,0,114,0.14,114,0.237
11X418,Bronx High School for the Visual Arts,High School,479,0.7,0.75,0.79,0.78,0.88,0.84,0.497,0.503,Proficient,Developing,Proficient,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,0.069,0.265,0.065,0.136,0.76,1.5,6.1,0.788,0.814,0.447,0.991,123,0.614,123,0.813,116,0.802,123,0.146,123,0.146,123,0.146,123,0.146,18,14.7,18,16,18,17.1,18,17.6,99,425,99,435,123,0.008,123,0.008,123,0.081,123,0.22
11X455,Harry S Truman High School,High School,"2,229",0.74,0.9,0.8,0.94,0.83,0.92,0.418,0.582,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Developing,Proficient,Developing,0.079,0.253,0.073,0.162,0.69,1.9,8,0.802,0.801,0.58,0.98,526,0.727,526,0.798,509,0.806,526,0.004,526,0.004,526,0.004,526,0.004,2,,2,,2,,2,,372,427,372,440,526,0,526,0,526,0.082,526,0.186
11X508,Bronxdale High School,High School,459,0.8,0.96,0.88,0.97,0.9,0.96,0.481,0.519,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,0.081,0.24,0.072,0.126,0.719,1.7,3,0.682,0.816,0.512,0.978,124,0.831,124,0.815,111,0.901,124,0,124,0,124,0,124,0,,,,,,,,,105,425,105,432,124,0,124,0,124,0.056,124,0.218
11X509,High School of Language and Innovation,High School,369,0.77,0.95,0.84,0.95,0.91,0.95,0.423,0.577,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,0.818,0.046,0.157,0.244,0.748,1.4,10.2,0.75,0.892,0.316,0.982,110,0.559,110,0.945,96,0.865,110,0,110,0,110,0,110,0,,,,,,,,,90,396,90,388,110,0,110,0,110,0.036,110,0.073
11X513,New World High School,High School,357,0.79,0.86,0.9,0.9,0.97,0.93,0.532,0.468,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Well Developed,Proficient,Proficient,0.711,0.064,0.095,0.232,0.759,2.5,3.9,0.88,0.888,0.396,0.97,71,0.838,71,0.859,79,0.873,71,0,71,0,71,0,71,0,,,,,,,,,64,451,64,410,71,0,71,0,71,0.197,71,0.141
11X514,The Bronxwood Preparatory Academy,High School,353,0.78,0.96,0.83,0.95,0.89,0.92,0.527,0.473,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,0.091,0.232,0.105,0.153,0.705,0.6,16.2,0.826,0.856,0.371,0.98,86,0.709,86,0.849,97,0.773,86,0,86,0,86,0,86,0,55,30.5,55,31.3,55,31.1,55,30.1,72,409,72,424,86,0,86,0,86,0.035,86,0.186
11X542,Pelham Preparatory Academy,High School,502,0.77,0.91,0.84,0.91,0.86,0.9,0.458,0.542,Proficient,Proficient,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Proficient,Proficient,0.07,0.257,0.048,0.102,0.661,1.7,5.1,0.839,0.887,0.347,0.982,124,0.637,124,0.919,140,0.886,124,0,124,0,124,0,124,0,,,,,,,,,105,448,105,457,124,0,124,0,124,0.185,124,0.306
