SchoolDigger.com School Ranking Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York High School Rankings / School Year: 2018-2019 Test Grades:  9th, 10th, 11th, 12th, End-of-course, Tests: Regents Algebra I, Regents Chemistry, Regents Algebra II, Regents English, Regents Geometry, Regents Earth Science, Regents Global History and Geography, Regents Living Environment, Regents Physics, Regents U.S. History and Government, Schools: All",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyright 2022, SchoolDigger.com. Not for commercial use. Do not distribute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank (2018-19),School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2018-19),Average Standard Score (2017-18),Rank (2017-18),Rank Change from (2017-18),SchoolDigger Star Rating
12,Garden City High School,https://www.schooldigger.com/go/NY/schools/1176000942/school.aspx,Garden City Union Free School District,https://www.schooldigger.com/go/NY/district/11760/search.aspx,170 Rockaway Ave,Garden City,https://www.schooldigger.com/go/NY/city/Garden+City/search.aspx,11530,Nassau County,(516) 478-2000,9,12,Yes,No,No,No,1188,94.5,12.5,4.20%,1.10%,0.00%,5.80%,6.40%,0.00%,0.30%,86.40%,85.8,85.7,13,1,5
13,Briarcliff High School,https://www.schooldigger.com/go/NY/schools/0534000268/school.aspx,Briarcliff Manor Union Free School District,https://www.schooldigger.com/go/NY/district/05340/search.aspx,444 Pleasantville Rd,Briarcliff Manor,https://www.schooldigger.com/go/NY/city/Briarcliff+Manor/search.aspx,10510,Westchester County,(914) 488-8325,9,12,No,No,No,No,568,49,11.5,4.90%,4.40%,0.00%,14.60%,7.90%,0.00%,0.90%,72.20%,85.8,86.2,9,-4,5
14,High School Mathematics Science And Engineering At Ccny,https://www.schooldigger.com/go/NY/schools/0008105116/school.aspx,New York City Geographic District # 5,https://www.schooldigger.com/go/NY/district/00081/search.aspx,240 Convent Ave,New York,https://www.schooldigger.com/go/NY/city/New+York/search.aspx,10031,New York County,(212) 281-6490,9,12,No,No,No,No,490,30.7,15.9,40.40%,8.60%,1.40%,28.80%,16.70%,1.00%,13.30%,30.20%,85.7,86.8,7,-7,5
15,Jericho Senior High School,https://www.schooldigger.com/go/NY/schools/1581001370/school.aspx,Jericho Union Free School District,https://www.schooldigger.com/go/NY/district/15810/search.aspx,99 Cedar Swamp Rd,Jericho,https://www.schooldigger.com/go/NY/city/Jericho/search.aspx,11753,Nassau County,(516) 203-3610,9,12,Yes,No,No,No,1114,106.7,10.4,9.50%,2.00%,0.00%,56.30%,3.10%,0.10%,0.20%,38.40%,85.6,84.7,22,7,5
16,Great Neck South High School,https://www.schooldigger.com/go/NY/schools/1251001018/school.aspx,Great Neck Union Free School District,https://www.schooldigger.com/go/NY/district/12510/search.aspx,341 Lakeville Rd,Great Neck,https://www.schooldigger.com/go/NY/city/Great+Neck/search.aspx,11020,Nassau County,(516) 441-4800,9,12,No,No,No,No,1222,107.2,11.3,19.80%,1.50%,0.00%,58.80%,7.70%,0.00%,2.00%,30.00%,85.3,83.6,34,18,5
17,Eleanor Roosevelt High School,https://www.schooldigger.com/go/NY/schools/0007705084/school.aspx,New York City Geographic District # 2,https://www.schooldigger.com/go/NY/district/00077/search.aspx,411 E 76th St,New York,https://www.schooldigger.com/go/NY/city/New+York/search.aspx,10021,New York County,(212) 772-1220,9,12,No,No,No,No,528,34.5,15.2,19.50%,2.70%,1.90%,15.20%,10.00%,0.40%,2.50%,67.40%,85.3,83.9,32,15,5
18,Rye High School,https://www.schooldigger.com/go/NY/schools/2526003492/school.aspx,Rye City School District,https://www.schooldigger.com/go/NY/district/25260/search.aspx,Parsons St,Rye,https://www.schooldigger.com/go/NY/city/Rye/search.aspx,10580,Westchester County,(914) 967-6100,9,12,Yes,No,No,No,1001,71.6,13.9,2.10%,1.30%,0.30%,6.30%,7.70%,0.00%,1.80%,82.60%,85.1,84.4,26,8,5
19,Millennium High School,https://www.schooldigger.com/go/NY/schools/0007705085/school.aspx,New York City Geographic District # 2,https://www.schooldigger.com/go/NY/district/00077/search.aspx,75 Broad St,New York,https://www.schooldigger.com/go/NY/city/New+York/search.aspx,10004,New York County,(212) 825-9008,9,12,No,No,No,No,683,40,17,49.30%,3.80%,0.40%,46.70%,11.10%,0.10%,5.70%,32.10%,85,85.1,19,0,5
20,Byram Hills High School,https://www.schooldigger.com/go/NY/schools/0606000389/school.aspx,Byram Hills Central School District,https://www.schooldigger.com/go/NY/district/06060/search.aspx,12 Tripp Ln,Armonk,https://www.schooldigger.com/go/NY/city/Armonk/search.aspx,10504,Westchester County,(914) 273-9200,9,12,Yes,No,No,No,790,70.1,11.2,3.90%,0.60%,0.00%,4.60%,5.10%,0.00%,0.10%,89.60%,85,85.4,15,-5,5
21,Syosset Senior High School,https://www.schooldigger.com/go/NY/schools/2856003843/school.aspx,Syosset Central School District,https://www.schooldigger.com/go/NY/district/28560/search.aspx,70 S Woods Rd,Syosset,https://www.schooldigger.com/go/NY/city/Syosset/search.aspx,11791,Nassau County,(516) 364-5675,9,12,Yes,No,No,No,2131,207.9,10.2,8.30%,0.60%,0.20%,34.70%,3.50%,0.10%,1.20%,59.60%,84.9,85,20,-1,5
