SchoolDigger.com School Ranking Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York High School Rankings / School Year: 2018-2019 Test Grades:  9th, 10th, 11th, 12th, End-of-course, Tests: Regents Algebra I, Regents Chemistry, Regents Algebra II, Regents English, Regents Geometry, Regents Earth Science, Regents Global History and Geography, Regents Living Environment, Regents Physics, Regents U.S. History and Government, Schools: All",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyright 2022, SchoolDigger.com. Not for commercial use. Do not distribute.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank (2018-19),School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2018-19),Average Standard Score (2017-18),Rank (2017-18),Rank Change from (2017-18),SchoolDigger Star Rating
233,City Honors School,https://www.schooldigger.com/go/NY/schools/0585000308/school.aspx,Buffalo City School District,https://www.schooldigger.com/go/NY/district/05850/search.aspx,186 E North St,Buffalo,https://www.schooldigger.com/go/NY/city/Buffalo/search.aspx,14204,Erie County,(716) 816-4230,5,12,No,No,No,No,1083,75,14.4,25.50%,16.10%,0.60%,11.40%,9.00%,0.20%,6.10%,56.80%,74.4,79.3,97,-136,4
234,"New Explorations into Science, Technology and Math",https://www.schooldigger.com/go/NY/schools/0007604873/school.aspx,New York City Geographic District # 1,https://www.schooldigger.com/go/NY/district/00076/search.aspx,111 Columbia St,New York,https://www.schooldigger.com/go/NY/city/New+York/search.aspx,10002,New York County,(212) 677-5190,KG,12,No,No,Yes,No,1752,95,18.4,23.50%,7.00%,0.70%,33.00%,11.50%,0.30%,6.90%,40.50%,74.4,73.5,237,3,4
235,Eden Middle & High School,https://www.schooldigger.com/go/NY/schools/1017000791/school.aspx,Eden Central School District,https://www.schooldigger.com/go/NY/district/10170/search.aspx,3150 Schoolview Rd,Eden,https://www.schooldigger.com/go/NY/city/Eden/search.aspx,14057,Erie County,(716) 992-3600,6,12,No,No,No,No,748,56.8,13.1,23.50%,0.50%,0.50%,0.40%,1.20%,0.30%,1.60%,95.50%,74.3,74.1,223,-12,4
236,Chittenango High School,https://www.schooldigger.com/go/NY/schools/0747000531/school.aspx,Chittenango Central School District,https://www.schooldigger.com/go/NY/district/07470/search.aspx,150 W Genesee St,Chittenango,https://www.schooldigger.com/go/NY/city/Chittenango/search.aspx,13037,Madison County,(315) 687-6917,9,12,Yes,No,No,No,638,50.5,12.6,38.20%,1.90%,0.00%,0.80%,3.10%,0.20%,2.00%,92.00%,74.3,76.2,172,-64,4
237,Union Springs High School,https://www.schooldigger.com/go/NY/schools/2925003937/school.aspx,Union Springs Central School District,https://www.schooldigger.com/go/NY/district/29250/search.aspx,239 Cayuga St,Union Springs,https://www.schooldigger.com/go/NY/city/Union+Springs/search.aspx,13160,Cayuga County,(315) 889-4110,9,12,No,No,No,No,251,14,17.9,35.90%,2.80%,0.00%,1.20%,4.80%,0.00%,0.80%,90.40%,74.3,78.3,128,-109,4
238,Cornwall Central High School,https://www.schooldigger.com/go/NY/schools/0843000642/school.aspx,Cornwall Central School District,https://www.schooldigger.com/go/NY/district/08430/search.aspx,10 Dragon Dr,New Windsor,https://www.schooldigger.com/go/NY/city/New+Windsor/search.aspx,12553,Orange County,(845) 534-8009,9,12,Yes,No,No,No,1118,70.5,15.8,14.00%,7.50%,0.40%,6.10%,17.40%,0.20%,1.50%,66.90%,74.3,75.2,203,-35,4
239,Mattituck Junior-Senior High School,https://www.schooldigger.com/go/NY/schools/0002101704/school.aspx,Mattituck-Cutchogue Union Free School District,https://www.schooldigger.com/go/NY/district/00021/search.aspx,15125 Main Rd,Mattituck,https://www.schooldigger.com/go/NY/city/Mattituck/search.aspx,11952,Suffolk County,(631) 298-8460,7,12,No,No,No,No,621,58.8,10.5,25.60%,2.40%,0.00%,1.80%,13.70%,0.00%,0.30%,81.80%,74.2,70.6,311,72,4
240,Valley Stream North High School,https://www.schooldigger.com/go/NY/schools/2952003982/school.aspx,Valley Stream Central High School District,https://www.schooldigger.com/go/NY/district/29520/search.aspx,750 Herman Ave,Franklin Square,https://www.schooldigger.com/go/NY/city/Franklin+Square/search.aspx,11010,Nassau County,(516) 564-5510,7,12,No,No,No,No,1375,106,12.9,27.90%,18.60%,0.10%,19.10%,26.30%,1.40%,1.10%,33.40%,74.2,72.3,267,27,4
241,"High School for Mathematics, Science and Engineeri",https://www.schooldigger.com/go/NY/schools/0007904518/school.aspx,New York City Geographic District # 4,https://www.schooldigger.com/go/NY/district/00079/search.aspx,260 Pleasant Ave,New York,https://www.schooldigger.com/go/NY/city/New+York/search.aspx,10029,New York County,(212) 876-4639,9,12,Yes,No,No,No,1657,90,18.4,80.40%,18.70%,1.00%,18.60%,52.80%,1.10%,2.40%,5.40%,74.2,75.2,202,-39,4
242,Argyle Junior/Senior High School,https://www.schooldigger.com/go/NY/schools/0321000083/school.aspx,Argyle Central School District,https://www.schooldigger.com/go/NY/district/03210/search.aspx,5023 State Rt 40,Argyle,https://www.schooldigger.com/go/NY/city/Argyle/search.aspx,12809,Washington County,(518) 638-8243,7,12,Yes,No,No,No,213,22,9.6,38.00%,0.00%,0.00%,1.40%,3.30%,0.00%,2.30%,93.00%,74.2,70,322,80,4
243,Lynbrook Senior High School,https://www.schooldigger.com/go/NY/schools/1791001606/school.aspx,Lynbrook Union Free School District,https://www.schooldigger.com/go/NY/district/17910/search.aspx,9 Union Ave,Lynbrook,https://www.schooldigger.com/go/NY/city/Lynbrook/search.aspx,11563,Nassau County,(516) 887-0200,9,12,No,No,No,No,895,67.6,13.2,18.00%,5.60%,0.30%,6.70%,16.20%,0.20%,0.70%,70.30%,74,72.6,259,16,4
244,Sanford H Calhoun High School,https://www.schooldigger.com/go/NY/schools/1902001721/school.aspx,Bellmore-Merrick Central High School District,https://www.schooldigger.com/go/NY/district/19020/search.aspx,1786 State St,Merrick,https://www.schooldigger.com/go/NY/city/Merrick/search.aspx,11566,Nassau County,(516) 992-1300,9,12,No,No,No,No,1224,110.5,11,13.20%,2.50%,0.40%,6.30%,12.70%,0.20%,0.70%,77.30%,74,75.4,199,-45,4
245,Caledonia-Mumford High School,https://www.schooldigger.com/go/NY/schools/0618000399/school.aspx,Caledonia-Mumford Central School District,https://www.schooldigger.com/go/NY/district/06180/search.aspx,99 North St,Caledonia,https://www.schooldigger.com/go/NY/city/Caledonia/search.aspx,14423,Livingston County,(585) 538-3483,9,12,No,No,No,No,241,20.9,11.4,32.40%,2.10%,0.00%,1.70%,1.70%,0.40%,0.00%,94.20%,74,74.2,222,-23,4
246,Sherman High School,https://www.schooldigger.com/go/NY/schools/2673003650/school.aspx,Sherman Central School District,https://www.schooldigger.com/go/NY/district/26730/search.aspx,127 Park St,Sherman,https://www.schooldigger.com/go/NY/city/Sherman/search.aspx,14781,Chautauqua County,(716) 761-6121,7,12,Yes,No,No,No,196,17,11.5,54.60%,1.00%,1.00%,0.00%,3.10%,0.00%,0.00%,94.90%,73.9,75.3,201,-45,4
247,Goshen Central High School,https://www.schooldigger.com/go/NY/schools/1233000995/school.aspx,Goshen Central School District,https://www.schooldigger.com/go/NY/district/12330/search.aspx,222 Scotchtown Ave,Goshen,https://www.schooldigger.com/go/NY/city/Goshen/search.aspx,10924,Orange County,(845) 615-6100,9,12,No,No,No,No,961,69.4,13.8,25.90%,6.00%,0.20%,4.20%,0.20%,0.00%,1.00%,88.30%,73.9,71.4,292,45,4
248,New Paltz Senior High School,https://www.schooldigger.com/go/NY/schools/2046001891/school.aspx,New Paltz Central School District,https://www.schooldigger.com/go/NY/district/20460/search.aspx,134 S Putt Corners Rd,New Paltz,https://www.schooldigger.com/go/NY/city/New+Paltz/search.aspx,12561,Ulster County,(845) 256-4100,9,12,No,No,No,No,761,54,14,23.80%,5.90%,0.40%,4.10%,11.30%,0.00%,1.40%,76.90%,73.9,72.4,265,17,4
249,Willsboro Central School,https://www.schooldigger.com/go/NY/schools/3150004220/school.aspx,Willsboro Central School District,https://www.schooldigger.com/go/NY/district/31500/search.aspx,29 School Ln,Willsboro,https://www.schooldigger.com/go/NY/city/Willsboro/search.aspx,12996,Essex County,(518) 963-4456,PK,12,Yes,No,No,No,256,27,9.4,52.30%,0.00%,0.40%,0.00%,1.60%,0.00%,5.50%,92.60%,73.9,68.2,354,105,4
250,Pavilion Junior-Senior High School,https://www.schooldigger.com/go/NY/schools/2250003171/school.aspx,Pavilion Central School District,https://www.schooldigger.com/go/NY/district/22500/search.aspx,7014 Big Tree Rd,Pavilion,https://www.schooldigger.com/go/NY/city/Pavilion/search.aspx,14525,Genesee County,(585) 584-3115,6,12,Yes,No,No,No,353,45,7.8,44.20%,0.80%,0.00%,0.30%,2.30%,0.00%,0.00%,96.60%,73.9,65.9,402,152,4
251,East Islip High School,https://www.schooldigger.com/go/NY/schools/0972000747/school.aspx,East Islip Union Free School District,https://www.schooldigger.com/go/NY/district/09720/search.aspx,1 Redmen St,Islip Terrace,https://www.schooldigger.com/go/NY/city/Islip+Terrace/search.aspx,11752,Suffolk County,(631) 224-2006,9,12,Yes,No,No,No,1205,92,13,22.70%,1.80%,0.00%,2.40%,17.30%,0.00%,2.20%,76.30%,73.8,73,251,0,4
252,Tappan Zee High School,https://www.schooldigger.com/go/NY/schools/2745003741/school.aspx,South Orangetown Central School District,https://www.schooldigger.com/go/NY/district/27450/search.aspx,15 Dutch Hill Rd,Orangeburg,https://www.schooldigger.com/go/NY/city/Orangeburg/search.aspx,10962,Rockland County,(845) 680-1606,9,12,Yes,No,No,No,1055,81,13,15.70%,1.90%,0.20%,8.50%,17.00%,0.20%,1.20%,71.00%,73.8,76.5,166,-86,4
253,Lake George Junior-Senior High School,https://www.schooldigger.com/go/NY/schools/1647001458/school.aspx,Lake George Central School District,https://www.schooldigger.com/go/NY/district/16470/search.aspx,381 Canada St,Lake George,https://www.schooldigger.com/go/NY/city/Lake+George/search.aspx,12845,Warren County,(518) 668-5452,7,12,Yes,No,No,No,430,47,9.1,23.50%,1.60%,0.00%,4.40%,2.80%,0.00%,0.70%,90.50%,73.7,77.3,150,-103,4
254,Oneonta Senior High School,https://www.schooldigger.com/go/NY/schools/2178003095/school.aspx,Oneonta City School District,https://www.schooldigger.com/go/NY/district/21780/search.aspx,130 East St,Oneonta,https://www.schooldigger.com/go/NY/city/Oneonta/search.aspx,13820,Otsego County,(607) 433-8243,9,12,No,No,No,No,496,52,9.5,22.40%,6.70%,0.00%,3.00%,8.10%,0.00%,0.80%,81.50%,73.7,74.7,217,-37,4
255,Fox Lane High School,https://www.schooldigger.com/go/NY/schools/1995001822/school.aspx,Bedford Central School District,https://www.schooldigger.com/go/NY/district/19950/search.aspx,S Bedford Rd,Bedford,https://www.schooldigger.com/go/NY/city/Bedford/search.aspx,10506,Westchester County,(914) 241-6085,9,12,No,No,No,No,1384,111.6,12.4,29.60%,3.40%,0.00%,3.80%,32.90%,0.00%,3.00%,56.80%,73.7,75,207,-48,4
256,Ogdensburg Free Academy,https://www.schooldigger.com/go/NY/schools/2166004325/school.aspx,Ogdensburg City School District,https://www.schooldigger.com/go/NY/district/21660/search.aspx,1100 State St,Ogdensburg,https://www.schooldigger.com/go/NY/city/Ogdensburg/search.aspx,13669,St. Lawrence County,(315) 393-0900,6,12,Yes,No,No,No,709,54,13.1,53.70%,0.70%,0.10%,0.60%,0.70%,0.00%,0.40%,97.50%,73.6,70.3,317,61,4
257,Maple Hill Junior/Senior High School,https://www.schooldigger.com/go/NY/schools/2607003596/school.aspx,Schodack Central School District,https://www.schooldigger.com/go/NY/district/26070/search.aspx,1216 Maple Hill Rd,Castleton,https://www.schooldigger.com/go/NY/city/Castleton/search.aspx,12033,Rensselaer County,(518) 732-7701,7,12,No,No,No,No,407,38.2,10.6,20.60%,1.20%,0.00%,1.20%,4.40%,0.00%,1.70%,91.40%,73.6,71.1,299,42,4
258,Wilson Middle/High School,https://www.schooldigger.com/go/NY/schools/3156004223/school.aspx,Wilson Central School District,https://www.schooldigger.com/go/NY/district/31560/search.aspx,374-80 Lake St,Wilson,https://www.schooldigger.com/go/NY/city/Wilson/search.aspx,14172,Niagara County,(716) 751-9341,6,12,Yes,No,No,No,630,57.8,10.8,35.10%,0.60%,0.60%,0.00%,2.70%,0.00%,3.20%,92.90%,73.5,69.7,332,74,4
259,Bolton Central School,https://www.schooldigger.com/go/NY/schools/0501000240/school.aspx,Bolton Central School District,https://www.schooldigger.com/go/NY/district/05010/search.aspx,26 Horicon Ave,Bolton Landing,https://www.schooldigger.com/go/NY/city/Bolton+Landing/search.aspx,12814,Warren County,(518) 644-2400,PK,12,Yes,No,No,No,186,29,6.4,30.10%,5.90%,0.00%,1.60%,2.70%,0.00%,0.00%,89.80%,73.4,73.7,234,-25,4
260,Onondaga Senior High School,https://www.schooldigger.com/go/NY/schools/2181003098/school.aspx,Onondaga Central School District,https://www.schooldigger.com/go/NY/district/21810/search.aspx,4479 S Onondaga Rd,Nedrow,https://www.schooldigger.com/go/NY/city/Nedrow/search.aspx,13120,Onondaga County,(315) 552-5020,7,12,No,No,No,No,394,34,11.5,45.90%,11.20%,4.10%,1.30%,5.30%,0.00%,3.80%,74.40%,73.4,77.3,151,-109,4
261,Southwestern Senior High School,https://www.schooldigger.com/go/NY/schools/2766003756/school.aspx,Southwestern Central School District At Jamestown,https://www.schooldigger.com/go/NY/district/27660/search.aspx,600 Hunt Rd W,Jamestown,https://www.schooldigger.com/go/NY/city/Jamestown/search.aspx,14701,Chautauqua County,(716) 664-6273,9,12,Yes,No,No,No,415,31,13.3,33.50%,0.50%,0.00%,2.20%,4.30%,0.00%,3.60%,89.40%,73.3,71.6,281,20,4
262,Monroe-Woodbury High School,https://www.schooldigger.com/go/NY/schools/1965001795/school.aspx,Monroe-Woodbury Central School District,https://www.schooldigger.com/go/NY/district/19650/search.aspx,155 Dunderberg Rd,Central Valley,https://www.schooldigger.com/go/NY/city/Central+Valley/search.aspx,10917,Orange County,(845) 460-7000,9,12,No,No,No,No,2328,144.9,16,26.10%,8.50%,0.10%,6.70%,26.60%,0.00%,1.20%,56.70%,73.3,74.7,215,-47,4
263,Whitesboro High School,https://www.schooldigger.com/go/NY/schools/3132004197/school.aspx,Whitesboro Central School District,https://www.schooldigger.com/go/NY/district/31320/search.aspx,6000 Ny-291,Marcy,https://www.schooldigger.com/go/NY/city/Marcy/search.aspx,13403,Oneida County,(315) 266-3216,9,12,No,No,No,No,1012,67,15.1,29.50%,1.80%,0.00%,2.00%,2.80%,0.20%,2.00%,91.30%,73.3,73,252,-11,4
264,Geneseo Middle School High School,https://www.schooldigger.com/go/NY/schools/1194000961/school.aspx,Geneseo Central School District,https://www.schooldigger.com/go/NY/district/11940/search.aspx,4050 Avon Rd,Geneseo,https://www.schooldigger.com/go/NY/city/Geneseo/search.aspx,14454,Livingston County,(585) 243-3450,6,12,No,No,No,No,453,45,10,35.50%,1.50%,0.00%,1.10%,7.90%,0.00%,3.10%,86.30%,73.3,72.5,263,-1,4
265,Valhalla High School,https://www.schooldigger.com/go/NY/schools/2940004537/school.aspx,Valhalla Union Free School District,https://www.schooldigger.com/go/NY/district/29400/search.aspx,300 Columbus Ave,Valhalla,https://www.schooldigger.com/go/NY/city/Valhalla/search.aspx,10595,Westchester County,(914) 683-5014,9,12,Yes,No,No,No,454,36,12.6,18.50%,8.40%,0.40%,6.80%,22.50%,0.20%,1.80%,59.90%,73.3,64.6,426,161,4
266,Depew High School,https://www.schooldigger.com/go/NY/schools/0903000689/school.aspx,Depew Union Free School District,https://www.schooldigger.com/go/NY/district/09030/search.aspx,5201 S Transit Rd,Depew,https://www.schooldigger.com/go/NY/city/Depew/search.aspx,14043,Erie County,(716) 686-5095,9,12,No,No,No,No,556,44,12.6,41.20%,3.10%,0.50%,3.40%,3.20%,0.00%,1.60%,88.10%,73.2,75.1,206,-60,4
267,Southern Cayuga 7-12 Secondary School,https://www.schooldigger.com/go/NY/schools/2757003749/school.aspx,Southern Cayuga Central School District,https://www.schooldigger.com/go/NY/district/27570/search.aspx,2384 Rt 34b,Aurora,https://www.schooldigger.com/go/NY/city/Aurora/search.aspx,13026,Cayuga County,(315) 364-7111,7,12,Yes,No,No,No,287,28.8,9.9,46.70%,0.30%,0.30%,0.00%,12.50%,0.00%,3.10%,83.60%,73.2,68.6,347,80,4
268,H Frank Carey High School,https://www.schooldigger.com/go/NY/schools/2652003628/school.aspx,Sewanhaka Central High School District,https://www.schooldigger.com/go/NY/district/26520/search.aspx,230 Poppy Ave,Franklin Square,https://www.schooldigger.com/go/NY/city/Franklin+Square/search.aspx,11010,Nassau County,(516) 539-9400,7,12,No,No,No,No,1618,103.9,15.5,17.00%,2.80%,0.10%,9.80%,16.70%,0.40%,0.40%,69.70%,73,76.2,174,-94,4
269,Belleville Henderson Central School,https://www.schooldigger.com/go/NY/schools/0437004801/school.aspx,Belleville-Henderson Central School District,https://www.schooldigger.com/go/NY/district/04370/search.aspx,8372 County Rt 75,Belleville,https://www.schooldigger.com/go/NY/city/Belleville/search.aspx,13611,Jefferson County,(315) 846-5121,PK,12,Yes,No,No,No,484,41.9,11.5,54.30%,1.00%,0.00%,0.60%,3.50%,0.00%,3.10%,91.70%,73,72.8,254,-15,4
270,Owego Free Academy,https://www.schooldigger.com/go/NY/schools/2217003138/school.aspx,Owego-Apalachin Central School District,https://www.schooldigger.com/go/NY/district/22170/search.aspx,1 Sheldon Guile Blvd,Owego,https://www.schooldigger.com/go/NY/city/Owego/search.aspx,13827,Tioga County,(607) 687-7301,9,12,No,No,No,No,649,42,15.4,41.00%,1.10%,0.00%,0.50%,2.30%,0.00%,1.10%,95.10%,73,76.2,173,-97,4
271,Pioneer Senior High School,https://www.schooldigger.com/go/NY/schools/0897000686/school.aspx,Yorkshire-Pioneer Central School District,https://www.schooldigger.com/go/NY/district/08970/search.aspx,12125 County Line Rd,Yorkshire,https://www.schooldigger.com/go/NY/city/Yorkshire/search.aspx,14173,Cattaraugus County,(716) 492-9328,9,12,Yes,No,No,No,745,60.3,12.3,46.00%,1.30%,0.30%,1.50%,1.60%,0.30%,0.10%,94.90%,73,72,274,3,4
272,Duanesburg High School,https://www.schooldigger.com/go/NY/schools/0936000715/school.aspx,Duanesburg Central School District,https://www.schooldigger.com/go/NY/district/09360/search.aspx,163 School Dr,Delanson,https://www.schooldigger.com/go/NY/city/Delanson/search.aspx,12053,Schenectady County,(518) 895-3000,7,12,Yes,No,No,No,353,31,11.3,24.90%,0.60%,0.60%,0.80%,3.40%,0.30%,2.30%,92.10%,73,71.5,287,15,4
273,Csi High School For International Studies,https://www.schooldigger.com/go/NY/schools/0010305835/school.aspx,New York City Geographic District #31,https://www.schooldigger.com/go/NY/district/00103/search.aspx,100 Essex Dr,Staten Island,https://www.schooldigger.com/go/NY/city/Staten+Island/search.aspx,10314,Richmond County,(718) 370-6900,9,12,No,No,No,No,492,28,17.5,47.80%,7.30%,1.40%,16.10%,19.70%,0.40%,0.80%,54.30%,73,67.5,370,97,4
274,Lyme Central School,https://www.schooldigger.com/go/NY/schools/1788001604/school.aspx,Lyme Central School District,https://www.schooldigger.com/go/NY/district/17880/search.aspx,11868 Academy St,Chaumont,https://www.schooldigger.com/go/NY/city/Chaumont/search.aspx,13622,Jefferson County,(315) 649-2417,PK,12,Yes,No,No,No,348,30,11.5,52.00%,3.40%,0.00%,0.60%,2.30%,0.00%,0.00%,93.70%,73,60.4,522,248,4
275,Schalmont High School,https://www.schooldigger.com/go/NY/schools/2598003571/school.aspx,Schalmont Central School District,https://www.schooldigger.com/go/NY/district/25980/search.aspx,1 Sabre Dr,Schenectady,https://www.schooldigger.com/go/NY/city/Schenectady/search.aspx,12306,Schenectady County,(518) 355-6110,9,12,No,No,No,No,638,45.6,13.9,24.90%,1.70%,0.20%,1.60%,5.20%,0.00%,3.40%,87.90%,72.7,65,421,146,4
276,Island Trees High School,https://www.schooldigger.com/go/NY/schools/1551001320/school.aspx,Island Trees Union Free School District,https://www.schooldigger.com/go/NY/district/15510/search.aspx,59 Straight Ln,Levittown,https://www.schooldigger.com/go/NY/city/Levittown/search.aspx,11756,Nassau County,(516) 520-2135,9,12,No,No,No,No,730,55.9,13,22.60%,1.80%,0.10%,9.50%,17.80%,0.00%,0.10%,70.70%,72.7,70.7,309,33,4
277,Rush-Henrietta Senior High School,https://www.schooldigger.com/go/NY/schools/2517003485/school.aspx,Rush-Henrietta Central School District,https://www.schooldigger.com/go/NY/district/25170/search.aspx,1799 Lehigh Station Rd,Henrietta,https://www.schooldigger.com/go/NY/city/Henrietta/search.aspx,14467,Monroe County,(585) 359-5200,9,12,No,No,No,No,1250,97.5,12.8,42.00%,17.20%,0.30%,12.50%,5.60%,0.20%,1.50%,62.60%,72.7,72.1,272,-5,4
278,Roxbury Central School,https://www.schooldigger.com/go/NY/schools/2511003473/school.aspx,Roxbury Central School District,https://www.schooldigger.com/go/NY/district/25110/search.aspx,53729 Nys Rt 30,Roxbury,https://www.schooldigger.com/go/NY/city/Roxbury/search.aspx,12474,Delaware County,(607) 326-4151,PK,12,Yes,No,No,No,266,35.1,7.5,51.90%,1.50%,0.00%,0.00%,2.60%,0.00%,1.10%,94.70%,72.6,76.7,163,-115,4
279,Central Park East High School,https://www.schooldigger.com/go/NY/schools/0007900638/school.aspx,New York City Geographic District # 4,https://www.schooldigger.com/go/NY/district/00079/search.aspx,1573 Madison Ave-Rm 321,New York,https://www.schooldigger.com/go/NY/city/New+York/search.aspx,10029,New York County,(212) 860-5929,9,12,Yes,No,No,No,512,29,17.6,78.10%,26.20%,1.20%,17.00%,49.40%,0.40%,1.40%,4.50%,72.6,68.2,355,76,4
280,Weedsport Junior-Senior High School,https://www.schooldigger.com/go/NY/schools/3042004095/school.aspx,Weedsport Central School District,https://www.schooldigger.com/go/NY/district/30420/search.aspx,2821 E Brutus St,Weedsport,https://www.schooldigger.com/go/NY/city/Weedsport/search.aspx,13166,Cayuga County,(315) 834-6652,7,12,Yes,No,No,No,383,37.5,10.2,27.20%,0.30%,0.50%,1.30%,1.80%,0.30%,4.40%,91.40%,72.5,73.9,230,-50,4
281,Minisink Valley High School,https://www.schooldigger.com/go/NY/schools/1956001784/school.aspx,Minisink Valley Central School District,https://www.schooldigger.com/go/NY/district/19560/search.aspx,2320 Rt 6,Middletown,https://www.schooldigger.com/go/NY/city/Middletown/search.aspx,10940,Orange County,(845) 355-5155,9,12,No,No,No,No,1229,99,12.4,23.90%,4.60%,0.20%,1.30%,16.90%,0.00%,0.00%,76.90%,72.5,71.3,296,15,4
282,Hadley-Luzerne Junior-Senior High School,https://www.schooldigger.com/go/NY/schools/1311001075/school.aspx,Hadley-Luzerne Central School District,https://www.schooldigger.com/go/NY/district/13110/search.aspx,273 Lake Ave,Lake Luzerne,https://www.schooldigger.com/go/NY/city/Lake+Luzerne/search.aspx,12846,Warren County,(518) 696-2112,7,12,Yes,No,No,No,323,33.3,9.6,49.20%,0.00%,0.90%,0.00%,2.50%,0.00%,0.60%,96.00%,72.4,66,398,116,4
283,Marcus Whitman High School,https://www.schooldigger.com/go/NY/schools/1230000993/school.aspx,Gorham-Middlesex Central School District (Marcus Whitman),https://www.schooldigger.com/go/NY/district/12300/search.aspx,4100 Baldwin Rd,Rushville,https://www.schooldigger.com/go/NY/city/Rushville/search.aspx,14544,Ontario County,(585) 554-6441,9,12,No,No,No,No,325,33.9,9.5,52.00%,0.90%,0.30%,0.60%,1.20%,0.00%,1.50%,95.40%,72.4,74.8,212,-71,4
284,Hendrick Hudson High School,https://www.schooldigger.com/go/NY/schools/1419001165/school.aspx,Hendrick Hudson Central School District,https://www.schooldigger.com/go/NY/district/14190/search.aspx,2166 Albany Post Rd,Montrose,https://www.schooldigger.com/go/NY/city/Montrose/search.aspx,10548,Westchester County,(914) 257-5800,9,12,No,No,No,No,808,68.5,11.7,24.40%,4.80%,0.00%,4.70%,26.20%,0.10%,3.50%,60.60%,72.3,66.4,389,105,4
285,Locust Valley High School,https://www.schooldigger.com/go/NY/schools/1770001592/school.aspx,Locust Valley Central School District,https://www.schooldigger.com/go/NY/district/17700/search.aspx,99 Horse Hollow Rd,Locust Valley,https://www.schooldigger.com/go/NY/city/Locust+Valley/search.aspx,11560,Nassau County,(516) 277-5100,9,12,Yes,No,No,No,649,49,13.2,19.90%,1.40%,0.00%,3.90%,17.70%,0.30%,1.50%,75.20%,72.3,76.4,169,-116,4
286,Achievement First East New York Charter School,https://www.schooldigger.com/go/NY/schools/0014905824/school.aspx,Achievement First East New York Charter School,https://www.schooldigger.com/go/NY/district/00149/search.aspx,557 Pennsylvania Ave,Brooklyn,https://www.schooldigger.com/go/NY/city/Brooklyn/search.aspx,11207,Kings County,(718) 485-4924,KG,12,Yes,Yes,No,No,0,64,0,,,,,,,,,72.2,72.8,256,-30,4
287,Miller Place High School,https://www.schooldigger.com/go/NY/schools/1941001773/school.aspx,Miller Place Union Free School District,https://www.schooldigger.com/go/NY/district/19410/search.aspx,15 Memorial Dr,Miller Place,https://www.schooldigger.com/go/NY/city/Miller+Place/search.aspx,11764,Suffolk County,(631) 474-2723,9,12,Yes,No,No,No,871,56,15.5,14.90%,1.50%,0.10%,2.90%,7.20%,0.30%,2.00%,86.00%,72.2,67.7,363,76,4
288,North Tonawanda High School,https://www.schooldigger.com/go/NY/schools/2124003013/school.aspx,North Tonawanda City School District,https://www.schooldigger.com/go/NY/district/21240/search.aspx,405 Meadow Dr,North Tonawanda,https://www.schooldigger.com/go/NY/city/North+Tonawanda/search.aspx,14120,Niagara County,(716) 807-3600,9,12,Yes,No,No,No,1046,76.9,13.5,33.60%,2.50%,2.60%,0.90%,3.60%,0.10%,1.10%,89.20%,72.2,62.5,468,180,4
289,Eldred Junior-Senior High School,https://www.schooldigger.com/go/NY/schools/1041000803/school.aspx,Eldred Central School District,https://www.schooldigger.com/go/NY/district/10410/search.aspx,600 Rt 55,Eldred,https://www.schooldigger.com/go/NY/city/Eldred/search.aspx,12732,Sullivan County,(845) 456-1100,7,12,Yes,No,No,No,242,22,10.9,41.70%,0.40%,0.40%,0.80%,9.50%,0.00%,0.80%,88.00%,72.2,60.3,526,237,4
290,Floral Park Memorial High School,https://www.schooldigger.com/go/NY/schools/2652003627/school.aspx,Sewanhaka Central High School District,https://www.schooldigger.com/go/NY/district/26520/search.aspx,210 Locust St,Floral Park,https://www.schooldigger.com/go/NY/city/Floral+Park/search.aspx,11001,Nassau County,(516) 488-9300,7,12,No,No,No,No,1389,94,14.7,21.00%,12.00%,0.10%,18.30%,15.50%,1.40%,0.40%,52.40%,72.1,70.7,306,16,4
291,Waterford-Halfmoon Junior-Senior High School,https://www.schooldigger.com/go/NY/schools/3006004042/school.aspx,Waterford-Halfmoon Union Free School District,https://www.schooldigger.com/go/NY/district/30060/search.aspx,125 Middletown Rd,Waterford,https://www.schooldigger.com/go/NY/city/Waterford/search.aspx,12188,Saratoga County,(518) 237-0800,7,12,Yes,No,No,No,341,34.9,9.7,38.10%,2.30%,0.00%,2.10%,1.80%,0.00%,2.30%,91.50%,71.9,72.6,261,-30,4
